10,10,3
10,10,2
10,100,6
100,10,8
100,100,9
100,10000,346
1000,10,56
1000,1000,67
1000,1000000,17913
2000,10,38
2000,2000,58
2000,4000000,43022
5000,10,80
5000,5000,133
5000,25000000,267553
10000,10,160
10000,10000,293
10000,100000000,1076252
20000,10,329
20000,20000,541
20000,400000000,4280870
